"Team.Names","Location","Color"
"Arizona Diamondbacks"," Phoenix AZ","red"
"Atlanta Braves"," Atlanta GA","red"
"Baltimore Orioles"," Baltimore MD","darkorange"
"Boston Red Sox"," Boston MA","red"
"Chicago White Sox"," Chicago IL","black"
"Chicago Cubs"," Chicago IL","darkblue"
"Cincinnati Reds"," Cincinnati OH","red"
"Cleveland Indians"," Cleveland OH","red"
"Colorado Rockies"," Denver CO","darkorchid4"
"Detroit Tigers"," Detroit MI","midnightblue"
"Florida Marlins"," Miami FL","aquamarine3"
"Houston Astros"," Houston TX","red"
"Kansas City Royals"," Kansas City MO","darkblue"
"Los Angeles Angels"," Anaheim CA","red"
"Los Angeles Dodgers"," Los Angeles CA","darkblue"
"Milwaukee Brewers"," Milwaukee WI","midnightblue"
"Minnesota Twins"," Minneapolis MN","midnightblue"
"New York Mets"," Flushing NY","darkblue"
"New York Yankees"," Bronx NY","midnightblue"
"Oakland Athletics"," Oakland CA","darkgreen"
"Philadelphia Phillies"," Philadelphia PA","red"
"Pittsburgh Pirates"," Pittsburgh PA","gold"
"San Diego Padres"," San Diego CA","midnightblue"
"San Francisco Giants"," San Francisco CA","darkorange"
"Seattle Mariners"," Seattle WA","mediumturquoise"
"St. Louis Cardinals"," St. Louis MO","red"
"Tampa Bay Rays"," St. Petersburg FL","darkblue"
"Texas Rangers"," Arlington TX","darkblue"
"Toronto Blue Jays"," Toronto ON","darkblue"
"Washington Nationals"," Washington DC","midnightblue"
"Miami Marlins","Miami FL","aquamarine3"
